Micro-Scenario,应用领域,用途分类,项目名称,Stars,核心意图,GitHub链接
技术基础设施,开发工具/脚手架,CLI工具,ibelick/webclaw,383,"为OpenClaw提供快速Web客户端",https://github.com/ibelick/webclaw
技术基础设施,开发工具/脚手架,开发框架,FrontKurnianuswaruwu/sensasi-v1,0,"Laravel框架的官方文档和介绍",https://github.com/FrontKurnianuswaruwu/sensasi-v1
技术基础设施,安全/隐私,通用工具,RogueMaster/ProtoPirate,30,"解码汽车钥匙滚动码协议",https://github.com/RogueMaster/ProtoPirate
技术基础设施,安全/隐私,防火墙/防护,jedi4ever/addt,37,"在容器中安全运行AI编程助手",https://github.com/jedi4ever/addt
技术基础设施,安全/隐私,认证/授权,dependabot/proxy,118,"为依赖更新工具添加认证代理",https://github.com/dependabot/proxy
技术基础设施,网站/门户,通用工具,ibelick/webclaw,383,"为OpenClaw提供快速Web客户端",https://github.com/ibelick/webclaw
技术基础设施,网站/门户,生成工具,VicBrnd/brnd-app-main,0,"创建Next.js默认模板项目",https://github.com/VicBrnd/brnd-app-main
技术基础设施,网站/门户,管理系统,grp06/openclaw-studio,370,"通过WebSocket管理OpenClaw代理的UI界面",https://github.com/grp06/openclaw-studio
技术基础设施,医疗健康,通用工具,indianathe3rdKing/Clicka,0,"未知，README内容损坏",https://github.com/indianathe3rdKing/Clicka
技术基础设施,医疗健康,诊断/辅助,uibcdf/smonitor,0,"统一科学Python库的诊断与遥测",https://github.com/uibcdf/smonitor
技术基础设施,其他,通用工具,TurtIeSocks/tsp-mt,3,"多线程求解旅行商问题",https://github.com/TurtIeSocks/tsp-mt
技术基础设施,其他,监控工具,prixe-api/prixe-status-page,0,"监控API服务状态并展示",https://github.com/prixe-api/prixe-status-page
技术基础设施,教育学习,通用工具,linhanwang/Drive-JEPA,52,"自动驾驶轨迹规划模型训练",https://github.com/linhanwang/Drive-JEPA
技术基础设施,教育学习,课程管理,Keillin-M/Webserv,0,"实现符合课程要求的HTTP服务器",https://github.com/Keillin-M/Webserv
技术基础设施,教育学习,编程学习,VIGHNESH1510/VERILOG,0,"存储Verilog代码示例",https://github.com/VIGHNESH1510/VERILOG
技术基础设施,编译器/开发环境,通用工具,eval-exec/neomacs,206,"用Rust重写Emacs以支持GPU加速",https://github.com/eval-exec/neomacs
技术基础设施,编译器/开发环境,管理系统,ram-multicloud/Identity-and-Access-Management,1,"提供AWS和Azure身份与访问管理指南",https://github.com/ram-multicloud/Identity-and-Access-Management
技术基础设施,编译器/开发环境,分析工具,Nmoiroux/ecoXCorr,0,"分析环境与生态数据的滞后关联",https://github.com/Nmoiroux/ecoXCorr
技术基础设施,媒体/视频,通用工具,eval-exec/neomacs,206,"用Rust重写Emacs以支持GPU加速",https://github.com/eval-exec/neomacs
技术基础设施,媒体/视频,音频处理,ssarunic/dalston,0,"自托管音频转录服务器",https://github.com/ssarunic/dalston
技术基础设施,游戏/娱乐,通用工具,MaximWerner0207/3dAssets,0,"存储3D模型资源",https://github.com/MaximWerner0207/3dAssets
技术基础设施,游戏/娱乐,游戏引擎/框架,eapenkuruvilla/neurofish,0,"构建高性能混合评估国际象棋引擎",https://github.com/eapenkuruvilla/neurofish
技术基础设施,游戏/娱乐,管理系统,Vennyx-dev/Key-system,1,"管理密钥或访问控制系统",https://github.com/Vennyx-dev/Key-system
企业商业应用,企业管理,项目管理,kankan223/business-dazzle,1,"为印度中小企业提供AI客服与订单管理",https://github.com/kankan223/business-dazzle
企业商业应用,企业管理,通用工具,Flexibase-Projects/SGI,1,"将Excel数据可视化为工业指标仪表板",https://github.com/Flexibase-Projects/SGI
企业商业应用,企业管理,CRM/客户管理,tzipiwalles/bul,1,"连接哈雷迪专业人士与客户",https://github.com/tzipiwalles/bul
企业商业应用,设计工具,通用工具,vlat247/quuint,1,"基于Next.js的SaaS B2B启动项目",https://github.com/vlat247/quuint
企业商业应用,设计工具,UI/UX设计,Omprajapati1011/ecommerce-project,3,"构建电商项目原型",https://github.com/Omprajapati1011/ecommerce-project
企业商业应用,设计工具,管理系统,modibo-26/Aeroport,0,"机场航班管理系统后端",https://github.com/modibo-26/Aeroport
企业商业应用,网站/门户,通用工具,ggarciaperion/santo-dilema,0,"在线点餐系统",https://github.com/ggarciaperion/santo-dilema
企业商业应用,网站/门户,管理系统,framoralc/proyecto_Final,0,"餐厅外卖订单管理",https://github.com/framoralc/proyecto_Final
企业商业应用,网站/门户,企业官网,asolache/teamtowershuma,1,"展示人力资源咨询公司服务",https://github.com/asolache/teamtowershuma
企业商业应用,数据可视化/BI,通用工具,silver21217/Green-AI,3,"利用AI优化废物转能源过程",https://github.com/silver21217/Green-AI
企业商业应用,数据可视化/BI,管理系统,charleykwon/momgyeot,0,"为应用提供管理后台与事件分析",https://github.com/charleykwon/momgyeot
企业商业应用,数据可视化/BI,分析工具,web-dev-vishal/Global_Fi_Ultra,3,"聚合多源金融数据并提供AI分析",https://github.com/web-dev-vishal/Global_Fi_Ultra
企业商业应用,安全/隐私,防火墙/防护,DeathTrooperr/WirespeedReports,0,"为Wirespeed安全平台生成专业报告",https://github.com/DeathTrooperr/WirespeedReports
企业商业应用,安全/隐私,管理系统,charleykwon/momgyeot,0,"为应用提供管理后台与事件分析",https://github.com/charleykwon/momgyeot
企业商业应用,安全/隐私,通用工具,dive-8978/astro-channel,0,"分发代币空投并验证用户资格",https://github.com/dive-8978/astro-channel
企业商业应用,金融/交易,交易/投资,Samuel-0228/Sabi-Market,1,"构建社区二手交易平台",https://github.com/Samuel-0228/Sabi-Market
企业商业应用,金融/交易,通用工具,PrivyID-app/privyid,1,"提供企业身份验证API服务",https://github.com/PrivyID-app/privyid
企业商业应用,金融/交易,支付系统,VelaCore-VEC/VelaCore-dApp,0,"为中小企业提供稳定币支付网关",https://github.com/VelaCore-VEC/VelaCore-dApp
企业商业应用,自动化/工作流,通用工具,Flexibase-Projects/SGI,1,"将Excel数据可视化为工业指标仪表板",https://github.com/Flexibase-Projects/SGI
企业商业应用,自动化/工作流,管理系统,kankan223/business-dazzle,1,"为印度中小企业提供AI客服与订单管理",https://github.com/kankan223/business-dazzle
企业商业应用,自动化/工作流,任务自动化,zachyking/triage-warden,0,"自动化安全事件分析与响应",https://github.com/zachyking/triage-warden
企业商业应用,AI/LLM工具,通用工具,silver21217/Green-AI,3,"利用AI优化废物转能源过程",https://github.com/silver21217/Green-AI
企业商业应用,AI/LLM工具,管理系统,kankan223/business-dazzle,1,"为印度中小企业提供AI客服与订单管理",https://github.com/kankan223/business-dazzle
企业商业应用,AI/LLM工具,AI交互界面,Shivam10-7/Ingres-2.0,1,"通过聊天机器人查询地下水数据",https://github.com/Shivam10-7/Ingres-2.0
企业商业应用,社交/社区,通用工具,tzipiwalles/bul,1,"连接哈雷迪专业人士与客户",https://github.com/tzipiwalles/bul
企业商业应用,社交/社区,即时通讯,Shivam10-7/Ingres-2.0,1,"通过聊天机器人查询地下水数据",https://github.com/Shivam10-7/Ingres-2.0
企业商业应用,社交/社区,论坛/社区,Samuel-0228/Sabi-Market,1,"构建社区二手交易平台",https://github.com/Samuel-0228/Sabi-Market
企业商业应用,教育学习,通用工具,SamPrice2003/Railway-tracker,2,"追踪英国火车时刻与延误",https://github.com/SamPrice2003/Railway-tracker
企业商业应用,教育学习,管理系统,ziidd12/absensi_siswa,0,"学生考勤管理应用",https://github.com/ziidd12/absensi_siswa
企业商业应用,教育学习,监控工具,NAndersonBLX/cchs-coldest-spaces,0,"监控CCHS最冷空间",https://github.com/NAndersonBLX/cchs-coldest-spaces
企业商业应用,物联网/硬件,通用工具,Shivam10-7/Ingres-2.0,1,"通过聊天机器人查询地下水数据",https://github.com/Shivam10-7/Ingres-2.0
企业商业应用,物联网/硬件,管理系统,HenioJunior/algasensors-device-management,0,"管理藻类传感器设备",https://github.com/HenioJunior/algasensors-device-management
企业商业应用,物联网/硬件,监控工具,NAndersonBLX/cchs-coldest-spaces,0,"监控CCHS最冷空间",https://github.com/NAndersonBLX/cchs-coldest-spaces
企业商业应用,开发工具/脚手架,通用工具,vlat247/quuint,1,"基于Next.js的SaaS B2B启动项目",https://github.com/vlat247/quuint
企业商业应用,开发工具/脚手架,构建工具,langs235/tripfind-waitlist,0,"收集用户邮件以构建等待列表",https://github.com/langs235/tripfind-waitlist
企业商业应用,开发工具/脚手架,项目模板,Marcemmanuel1/website-ecommerce,0,"基于官方模板的电商网站原型",https://github.com/Marcemmanuel1/website-ecommerce
企业商业应用,电商平台,通用工具,Omprajapati1011/ecommerce-project,3,"构建电商项目原型",https://github.com/Omprajapati1011/ecommerce-project
企业商业应用,电商平台,管理系统,kankan223/business-dazzle,1,"为印度中小企业提供AI客服与订单管理",https://github.com/kankan223/business-dazzle
企业商业应用,电商平台,生成工具,jiteshgoodboy0109-jit/namma-ooru-smart-Gliffy.X-,0,"为本地商店创建可编辑的电商网站",https://github.com/jiteshgoodboy0109-jit/namma-ooru-smart-Gliffy.X-
企业商业应用,代理/网关,通用工具,rickyautobots/fred-sol,0,"自动化Solana交易决策与执行",https://github.com/rickyautobots/fred-sol
企业商业应用,代理/网关,API网关,VelaCore-VEC/VelaCore-dApp,0,"为中小企业提供稳定币支付网关",https://github.com/VelaCore-VEC/VelaCore-dApp
企业商业应用,代理/网关,管理系统,gosayla/gym_app,0,"健身房会员与课程管理系统",https://github.com/gosayla/gym_app
企业商业应用,游戏/娱乐,通用工具,insang3663-netizen/gangseoshirt2,0,"展示豪华娱乐场所网站",https://github.com/insang3663-netizen/gangseoshirt2
企业商业应用,游戏/娱乐,生成工具,Pankeque/DaraveSite,0,"为游戏工作室创建营销网站和用户注册系统",https://github.com/Pankeque/DaraveSite
企业商业应用,编译器/开发环境,分析工具,zachyking/triage-warden,0,"自动化安全事件分析与响应",https://github.com/zachyking/triage-warden
企业商业应用,编译器/开发环境,监控工具,ticoraph/ReadyToSpendMonitor,0,"部署和监控信用评分模型",https://github.com/ticoraph/ReadyToSpendMonitor
企业商业应用,编译器/开发环境,管理系统,karthik-2710/Delivery-Partner-Portal,0,"为配送骑手管理订单和收入",https://github.com/karthik-2710/Delivery-Partner-Portal
企业商业应用,医疗健康,医疗管理,khanhduong290409/PETCLINIC_REPR,0,"宠物诊所系统原型",https://github.com/khanhduong290409/PETCLINIC_REPR
企业商业应用,医疗健康,通用工具,yataghan012/yataghan012.github.io,0,"为骨科医疗公司构建官方网站",https://github.com/yataghan012/yataghan012.github.io
企业商业应用,内容管理系统,通用工具,asolache/teamtowershuma,1,"展示人力资源咨询公司服务",https://github.com/asolache/teamtowershuma
企业商业应用,内容管理系统,管理系统,smonier/archive,0,"为Jahia内容管理系统添加归档功能",https://github.com/smonier/archive
企业商业应用,媒体/视频,通用工具,Gogumang/enigma-backend,0,"检测和预防AI驱动的浪漫诈骗",https://github.com/Gogumang/enigma-backend
企业商业应用,媒体/视频,生成工具,simonjeonsw/ai-system-spec,0,"自动化生成财经YouTube视频内容",https://github.com/simonjeonsw/ai-system-spec
企业商业应用,其他,通用工具,kloppnr1/DataHub.Exploration,1,"丹麦电力供应商结算系统",https://github.com/kloppnr1/DataHub.Exploration
个人生活,网站/门户,个人网站/博客,JingkaiTang/JingkaiTang.github.io,1,"个人博客站点搭建与内容管理",https://github.com/JingkaiTang/JingkaiTang.github.io
个人生活,网站/门户,通用工具,nicejade/life-spent,3,"基于年龄计算生命已逝比例",https://github.com/nicejade/life-spent
个人生活,网站/门户,生成工具,Tobiw87/tus-radsport,0,"为自行车俱乐部创建静态网站",https://github.com/Tobiw87/tus-radsport
个人生活,数据可视化/BI,通用工具,uttamkumar95446-bot/TheGranito,0,"展示个人作品集与技能",https://github.com/uttamkumar95446-bot/TheGranito
个人生活,数据可视化/BI,管理系统,LucasMontenegroM/CatalogosMVC,0,"管理用户和书籍记录的CRUD系统",https://github.com/LucasMontenegroM/CatalogosMVC
个人生活,数据可视化/BI,分析工具,johanzander/home-analytics,0,"家庭能源消耗与成本分析",https://github.com/johanzander/home-analytics
个人生活,教育学习,通用工具,reyes-art-car/portfolio-angular,0,"展示个人作品集网站",https://github.com/reyes-art-car/portfolio-angular
个人生活,教育学习,管理系统,LucasMontenegroM/CatalogosMVC,0,"管理用户和书籍记录的CRUD系统",https://github.com/LucasMontenegroM/CatalogosMVC
个人生活,企业管理,项目管理,JingkaiTang/JingkaiTang.github.io,1,"个人博客站点搭建与内容管理",https://github.com/JingkaiTang/JingkaiTang.github.io
个人生活,企业管理,通用工具,HIM049/HtmxBlog,2,"构建个人博客系统",https://github.com/HIM049/HtmxBlog
个人生活,企业管理,生成工具,Tobiw87/tus-radsport,0,"为自行车俱乐部创建静态网站",https://github.com/Tobiw87/tus-radsport
个人生活,设计工具,通用工具,nicejade/life-spent,3,"基于年龄计算生命已逝比例",https://github.com/nicejade/life-spent
个人生活,设计工具,管理系统,LucasMontenegroM/CatalogosMVC,0,"管理用户和书籍记录的CRUD系统",https://github.com/LucasMontenegroM/CatalogosMVC
个人生活,设计工具,UI/UX设计,finlin67/GTMStack_pro,0,"构建营销与作品集展示网站",https://github.com/finlin67/GTMStack_pro
个人生活,开发工具/脚手架,通用工具,gruks/portfolio,1,"展示个人作品集网站",https://github.com/gruks/portfolio
个人生活,开发工具/脚手架,生成工具,OscarPindaro/new-blog-design,0,"实验HTML CSS和Jekyll创建个人博客",https://github.com/OscarPindaro/new-blog-design
个人生活,开发工具/脚手架,项目模板,JJAllanLLC/goldenretriever-hair,0,"基于Next.js模板的网站项目",https://github.com/JJAllanLLC/goldenretriever-hair
个人生活,内容管理系统,通用工具,HIM049/HtmxBlog,2,"构建个人博客系统",https://github.com/HIM049/HtmxBlog
个人生活,内容管理系统,管理系统,JingkaiTang/JingkaiTang.github.io,1,"个人博客站点搭建与内容管理",https://github.com/JingkaiTang/JingkaiTang.github.io
个人生活,内容管理系统,生成工具,OscarPindaro/new-blog-design,0,"实验HTML CSS和Jekyll创建个人博客",https://github.com/OscarPindaro/new-blog-design
个人生活,游戏/娱乐,管理系统,JingkaiTang/JingkaiTang.github.io,1,"个人博客站点搭建与内容管理",https://github.com/JingkaiTang/JingkaiTang.github.io
个人生活,游戏/娱乐,通用工具,noahlin34/mochi,0,"通过宠物养成游戏追踪个人习惯",https://github.com/noahlin34/mochi
个人生活,游戏/娱乐,生成工具,Maria-mbugua/spin-savor,0,"随机生成肯尼亚风味食谱",https://github.com/Maria-mbugua/spin-savor
个人生活,自动化/工作流,通用工具,2shanez/vaada,0,"通过智能合约让用户押注个人目标完成",https://github.com/2shanez/vaada
个人生活,自动化/工作流,管理系统,JingkaiTang/JingkaiTang.github.io,1,"个人博客站点搭建与内容管理",https://github.com/JingkaiTang/JingkaiTang.github.io
个人生活,自动化/工作流,分析工具,Ignotum77/Ignotum77,0,"展示个人开发者简介与统计",https://github.com/Ignotum77/Ignotum77
