Micro-Scenario,应用领域,用途分类,项目名称,Stars,核心意图,GitHub链接
效率工具,教育学习,教育其他,shah1398/tepo98,2,"项目意图未知",https://github.com/shah1398/tepo98
效率工具,教育学习,知识管理工具,timefiy/note,0,"个人学习笔记记录与管理",https://github.com/timefiy/note
效率工具,教育学习,编程学习平台,FajluRahaman/js-code,0,"存储JavaScript代码片段",https://github.com/FajluRahaman/js-code
效率工具,数据可视化/BI,数据可视化其他,The-Vibe-Company/companion,1238,"为Claude Code提供浏览器界面",https://github.com/The-Vibe-Company/companion
效率工具,数据可视化/BI,商业分析工具,GaneshPokharel-tech/Tesla-Stock-Market-Analysis-and-Prediction,0,"分析特斯拉股价并预测走势",https://github.com/GaneshPokharel-tech/Tesla-Stock-Market-Analysis-and-Prediction
效率工具,数据可视化/BI,数据仪表盘,accius/openhamclock,270,"业余无线电操作员的实时数据仪表盘",https://github.com/accius/openhamclock
效率工具,代理/网关,网关其他,wondelai/skills,93,"为AI代理提供商业知识技能库",https://github.com/wondelai/skills
效率工具,内容管理系统,内容管理系统其他,hrcosigntheta/travelblog-website-template,1,"提供旅行博客网站模板",https://github.com/hrcosigntheta/travelblog-website-template
效率工具,内容管理系统,内容管理系统,sosaheri/kumi-cms,2,"基于文件的内容管理系统",https://github.com/sosaheri/kumi-cms
效率工具,内容管理系统,内容生成器,AuthorityTech/authoritytech-blog,0,"从Google Sheets拉取内容生成博客",https://github.com/AuthorityTech/authoritytech-blog
效率工具,媒体/视频,媒体其他,op7418/Video-Wrapper-Skills,163,"为访谈视频自动添加视觉特效",https://github.com/op7418/Video-Wrapper-Skills
效率工具,媒体/视频,视频编辑工具,Sayem9999/Project-1,1,"自动化AI视频编辑平台",https://github.com/Sayem9999/Project-1
效率工具,媒体/视频,直播流媒体,tronba/Tinymedia,0,"在本地网络提供文件浏览和流媒体服务",https://github.com/tronba/Tinymedia
效率工具,金融/交易,金融其他,Matt2Build/gridviewpro.com,0,"多网页同屏监控工具",https://github.com/Matt2Build/gridviewpro.com
效率工具,金融/交易,交易投资平台,Youssef123468/okx-fake-balance,0,"模拟OKX交易所假余额用于测试",https://github.com/Youssef123468/okx-fake-balance
效率工具,金融/交易,金融分析工具,GaneshPokharel-tech/Tesla-Stock-Market-Analysis-and-Prediction,0,"分析特斯拉股价并预测走势",https://github.com/GaneshPokharel-tech/Tesla-Stock-Market-Analysis-and-Prediction
效率工具,社交/社区,社交其他,stonerl/Thaw,1042,"管理macOS菜单栏项目",https://github.com/stonerl/Thaw
效率工具,社交/社区,即时通讯,jokim1/ClawTalk,1,"终端界面远程连接AI网关聊天",https://github.com/jokim1/ClawTalk
效率工具,社交/社区,社交网络,blissflyhigh/github-social,0,"自动生成GitHub仓库社交预览图",https://github.com/blissflyhigh/github-social
效率工具,安全/隐私,安全其他,eljojo/rememory,868,"通过秘密共享实现离线数据恢复",https://github.com/eljojo/rememory
效率工具,安全/隐私,加密解密工具,wumoztw/TitanCore-Dashboard,0,"显示加密货币和外汇的一目均衡表信号",https://github.com/wumoztw/TitanCore-Dashboard
效率工具,安全/隐私,身份认证系统,dryazanothman/contextual-workspace,0,"构建集成认证支付协作的工作空间",https://github.com/dryazanothman/contextual-workspace
效率工具,电商平台,电商平台其他,AnastasiyaPolyanskaya/User-Journey-Testing-holodilnik.ru,0,"测试电商网站用户旅程",https://github.com/AnastasiyaPolyanskaya/User-Journey-Testing-holodilnik.ru
效率工具,电商平台,内容生成器,molly-pemulis/horizon-theme,0,"为Shopify商店创建自定义主题",https://github.com/molly-pemulis/horizon-theme
效率工具,电商平台,数据分析工具,LucasMesquitaAlc/analise-ecommerce-Olist,0,"分析巴西电商销售数据",https://github.com/LucasMesquitaAlc/analise-ecommerce-Olist
效率工具,其他,其他其他,nickustinov/itsytv-macos,251,"在macOS菜单栏控制Apple TV",https://github.com/nickustinov/itsytv-macos
效率工具,其他,内容生成器,Yarexsi/qr-wifi-cliente,0,"生成WiFi连接的二维码",https://github.com/Yarexsi/qr-wifi-cliente
效率工具,游戏/娱乐,游戏其他,Rast1234/ToolStation,2,"为PS3游戏创建自定义启动器包",https://github.com/Rast1234/ToolStation
效率工具,游戏/娱乐,游戏Mod/插件,agentic-dev-io/claude-plugins,0,"为Claude Code开发插件",https://github.com/agentic-dev-io/claude-plugins
效率工具,物联网/硬件,物联网/硬件其他,sup3rflyer/DesktopLUT,1,"实时校正Windows桌面色彩显示",https://github.com/sup3rflyer/DesktopLUT
效率工具,物联网/硬件,监控工具,Drill23/pi-usage-monitor,0,"监控树莓派使用情况",https://github.com/Drill23/pi-usage-monitor
效率工具,物联网/硬件,内容生成器,hey-codes/paperterm,0,"为越狱Kindle创建终端风格仪表盘",https://github.com/hey-codes/paperterm
效率工具,医疗健康,医疗其他,aspain/git-sweaty,49,"将Strava运动数据可视化为GitHub贡献热图",https://github.com/aspain/git-sweaty
技术基础设施,AI/LLM工具,AI其他应用,ibelick/webclaw,383,"为OpenClaw提供快速Web客户端",https://github.com/ibelick/webclaw
技术基础设施,AI/LLM工具,AI代理框架,lukehinds/nono,314,"为AI代理提供内核级安全沙箱",https://github.com/lukehinds/nono
技术基础设施,AI/LLM工具,AI聊天界面,grp06/openclaw-studio,370,"通过WebSocket管理OpenClaw代理的UI界面",https://github.com/grp06/openclaw-studio
技术基础设施,数据可视化/BI,数据可视化其他,grp06/openclaw-studio,370,"通过WebSocket管理OpenClaw代理的UI界面",https://github.com/grp06/openclaw-studio
技术基础设施,数据可视化/BI,商业分析工具,e-cesar9/spacex-orbital-intelligence,4,"卫星轨道可视化与碰撞分析",https://github.com/e-cesar9/spacex-orbital-intelligence
技术基础设施,数据可视化/BI,实时监控面板,ggangix/venezuela-digital-observatory,44,"收集并监控委内瑞拉政府域名数据",https://github.com/ggangix/venezuela-digital-observatory
技术基础设施,社交/社区,社交其他,nfqws/nfqws-keenetic-web,43,"为路由器提供Web管理界面",https://github.com/nfqws/nfqws-keenetic-web
技术基础设施,社交/社区,社交网络,terminalcraft/moltbook-mcp,6,"为AI社交网络提供状态跟踪服务",https://github.com/terminalcraft/moltbook-mcp
技术基础设施,社交/社区,即时通讯,soeparnocorp/room,0,"演示Cloudflare Workers的实时聊天功能",https://github.com/soeparnocorp/room
技术基础设施,代理/网关,网关其他,grp06/openclaw-studio,370,"通过WebSocket管理OpenClaw代理的UI界面",https://github.com/grp06/openclaw-studio
技术基础设施,企业管理,企业管理其他,grp06/openclaw-studio,370,"通过WebSocket管理OpenClaw代理的UI界面",https://github.com/grp06/openclaw-studio
技术基础设施,企业管理,项目管理系统,vishwajit15-git/Wanderlust,0,"项目迁移或继续开发",https://github.com/vishwajit15-git/Wanderlust
技术基础设施,物联网/硬件,物联网/硬件其他,eval-exec/neomacs,206,"用Rust重写Emacs以支持GPU加速",https://github.com/eval-exec/neomacs
技术基础设施,物联网/硬件,数据分析工具,DecisionNerd/graphforge,0,"为Python分析工作流提供嵌入式图数据库",https://github.com/DecisionNerd/graphforge
技术基础设施,物联网/硬件,管理系统,DeepEyeCrypto/DeepEyeUnlocker,1,"解锁手机并管理固件",https://github.com/DeepEyeCrypto/DeepEyeUnlocker
技术基础设施,自动化/工作流,自动化其他,vercel-labs/agent-eval,67,"评估AI编程代理在框架中的表现",https://github.com/vercel-labs/agent-eval
技术基础设施,自动化/工作流,CI/CD自动化,mpursley/gke_services,0,"部署Python应用到GKE的CI/CD管道",https://github.com/mpursley/gke_services
技术基础设施,自动化/工作流,工作流引擎,agentjido/jido_runic,1,"桥接两个工作流引擎",https://github.com/agentjido/jido_runic
技术基础设施,电商平台,电商平台其他,po-sen/ChainTx,0,"提供多资产收款请求的HTTP服务",https://github.com/po-sen/ChainTx
技术基础设施,金融/交易,金融其他,po-sen/ChainTx,0,"提供多资产收款请求的HTTP服务",https://github.com/po-sen/ChainTx
技术基础设施,金融/交易,交易投资平台,akfamily/akquant,41,"量化投资回测与策略开发框架",https://github.com/akfamily/akquant
技术基础设施,金融/交易,加密货币/DeFi,max-de-bug/solana_web3.js_on_steroids,0,"增强 Solana 区块链交互的可靠性和性能",https://github.com/max-de-bug/solana_web3.js_on_steroids
技术基础设施,内容管理系统,内容管理系统其他,Link2Twenty/strapi-identity,1,"为Strapi添加多因素认证功能",https://github.com/Link2Twenty/strapi-identity
技术基础设施,内容管理系统,管理系统,jeremysykes/aro-studio-apps-dev,0,"管理设计系统的模块化平台",https://github.com/jeremysykes/aro-studio-apps-dev
技术基础设施,内容管理系统,内容管理系统,RustokCMS/RusTok,0,"构建高性能模块化内容管理平台",https://github.com/RustokCMS/RusTok
技术基础设施,设计工具,设计工具其他,eval-exec/neomacs,206,"用Rust重写Emacs以支持GPU加速",https://github.com/eval-exec/neomacs
技术基础设施,设计工具,UI/UX设计工具,grp06/openclaw-studio,370,"通过WebSocket管理OpenClaw代理的UI界面",https://github.com/grp06/openclaw-studio
技术基础设施,设计工具,3D设计工具,e-cesar9/spacex-orbital-intelligence,4,"卫星轨道可视化与碰撞分析",https://github.com/e-cesar9/spacex-orbital-intelligence
技术基础设施,开发工具/脚手架,前端框架模板,instituteofexcellence2022-code/bookmylib,0,"基于Next.js模板的默认项目",https://github.com/instituteofexcellence2022-code/bookmylib
技术基础设施,开发工具/脚手架,开发工具其他,ibelick/webclaw,383,"为OpenClaw提供快速Web客户端",https://github.com/ibelick/webclaw
技术基础设施,开发工具/脚手架,CLI命令行工具,adoslabsproject-gif/nothumanallowed,31,"为AI代理提供安全平台和工具",https://github.com/adoslabsproject-gif/nothumanallowed
技术基础设施,安全/隐私,安全其他,jedi4ever/addt,37,"在容器中安全运行AI编程助手",https://github.com/jedi4ever/addt
技术基础设施,安全/隐私,代理VPN工具,lukehinds/nono,314,"为AI代理提供内核级安全沙箱",https://github.com/lukehinds/nono
技术基础设施,安全/隐私,身份认证系统,dependabot/proxy,118,"为依赖更新工具添加认证代理",https://github.com/dependabot/proxy
技术基础设施,网站/门户,网站其他,ibelick/webclaw,383,"为OpenClaw提供快速Web客户端",https://github.com/ibelick/webclaw
技术基础设施,网站/门户,电商网站,kostyukova-elena/qa_guru_final_project_ui,0,"自动化测试电商网站功能",https://github.com/kostyukova-elena/qa_guru_final_project_ui
技术基础设施,网站/门户,作品集展示站,c-ster/QuantumLeap_website,0,"展示量子计算相关网站",https://github.com/c-ster/QuantumLeap_website
技术基础设施,医疗健康,医疗其他,indianathe3rdKing/Clicka,0,"未知，README内容损坏",https://github.com/indianathe3rdKing/Clicka
技术基础设施,医疗健康,辅助诊断工具,uibcdf/smonitor,0,"统一科学Python库的诊断与遥测",https://github.com/uibcdf/smonitor
技术基础设施,其他,其他其他,TurtIeSocks/tsp-mt,3,"多线程求解旅行商问题",https://github.com/TurtIeSocks/tsp-mt
技术基础设施,其他,监控工具,prixe-api/prixe-status-page,0,"监控API服务状态并展示",https://github.com/prixe-api/prixe-status-page
技术基础设施,教育学习,教育其他,linhanwang/Drive-JEPA,52,"自动驾驶轨迹规划模型训练",https://github.com/linhanwang/Drive-JEPA
技术基础设施,教育学习,课程管理系统,Keillin-M/Webserv,0,"实现符合课程要求的HTTP服务器",https://github.com/Keillin-M/Webserv
技术基础设施,教育学习,编程学习平台,VIGHNESH1510/VERILOG,0,"存储Verilog代码示例",https://github.com/VIGHNESH1510/VERILOG
技术基础设施,编译器/开发环境,编译器/开发环境其他,eval-exec/neomacs,206,"用Rust重写Emacs以支持GPU加速",https://github.com/eval-exec/neomacs
技术基础设施,编译器/开发环境,管理系统,ram-multicloud/Identity-and-Access-Management,1,"提供AWS和Azure身份与访问管理指南",https://github.com/ram-multicloud/Identity-and-Access-Management
技术基础设施,编译器/开发环境,数据分析工具,Nmoiroux/ecoXCorr,0,"分析环境与生态数据的滞后关联",https://github.com/Nmoiroux/ecoXCorr
技术基础设施,媒体/视频,媒体其他,eval-exec/neomacs,206,"用Rust重写Emacs以支持GPU加速",https://github.com/eval-exec/neomacs
技术基础设施,游戏/娱乐,游戏其他,Vennyx-dev/Key-system,1,"管理密钥或访问控制系统",https://github.com/Vennyx-dev/Key-system
企业商业应用,企业管理,企业管理其他,Flexibase-Projects/SGI,1,"将Excel数据可视化为工业指标仪表板",https://github.com/Flexibase-Projects/SGI
企业商业应用,企业管理,CRM客户管理,tzipiwalles/bul,1,"连接哈雷迪专业人士与客户",https://github.com/tzipiwalles/bul
企业商业应用,企业管理,订单管理系统,kankan223/business-dazzle,1,"为印度中小企业提供AI客服与订单管理",https://github.com/kankan223/business-dazzle
企业商业应用,设计工具,设计工具其他,davidcit646/Workflow,1,"AI生成的人员入职辅助应用",https://github.com/davidcit646/Workflow
企业商业应用,设计工具,UI/UX设计工具,Omprajapati1011/ecommerce-project,3,"构建电商项目原型",https://github.com/Omprajapati1011/ecommerce-project
企业商业应用,网站/门户,网站其他,ggarciaperion/santo-dilema,0,"在线点餐系统",https://github.com/ggarciaperion/santo-dilema
企业商业应用,网站/门户,作品集展示站,asolache/teamtowershuma,1,"展示人力资源咨询公司服务",https://github.com/asolache/teamtowershuma
企业商业应用,网站/门户,企业官网,MohamedAttawiya/ewtrading-hugo,0,"为贸易公司构建静态网站",https://github.com/MohamedAttawiya/ewtrading-hugo
企业商业应用,数据可视化/BI,数据可视化其他,silver21217/Green-AI,3,"利用AI优化废物转能源过程",https://github.com/silver21217/Green-AI
企业商业应用,数据可视化/BI,商业分析工具,web-dev-vishal/Global_Fi_Ultra,3,"聚合多源金融数据并提供AI分析",https://github.com/web-dev-vishal/Global_Fi_Ultra
企业商业应用,数据可视化/BI,实时监控面板,NAndersonBLX/cchs-coldest-spaces,0,"监控CCHS最冷空间",https://github.com/NAndersonBLX/cchs-coldest-spaces
企业商业应用,安全/隐私,安全其他,charleykwon/momgyeot,0,"为应用提供管理后台与事件分析",https://github.com/charleykwon/momgyeot
企业商业应用,安全/隐私,加密解密工具,KSonny4/trader_evaluator,1,"评估并复制加密货币交易者的策略",https://github.com/KSonny4/trader_evaluator
企业商业应用,安全/隐私,身份认证系统,RishabhAgni2/blockchain-identity-security-system,0,"使用区块链验证身份数据哈希",https://github.com/RishabhAgni2/blockchain-identity-security-system
企业商业应用,金融/交易,交易投资平台,Samuel-0228/Sabi-Market,1,"构建社区二手交易平台",https://github.com/Samuel-0228/Sabi-Market
企业商业应用,金融/交易,金融其他,PrivyID-app/privyid,1,"提供企业身份验证API服务",https://github.com/PrivyID-app/privyid
企业商业应用,金融/交易,支付系统,VelaCore-VEC/VelaCore-dApp,0,"为中小企业提供稳定币支付网关",https://github.com/VelaCore-VEC/VelaCore-dApp
企业商业应用,自动化/工作流,自动化其他,Flexibase-Projects/SGI,1,"将Excel数据可视化为工业指标仪表板",https://github.com/Flexibase-Projects/SGI
企业商业应用,AI/LLM工具,AI其他应用,silver21217/Green-AI,3,"利用AI优化废物转能源过程",https://github.com/silver21217/Green-AI
企业商业应用,AI/LLM工具,AI数据分析,web-dev-vishal/Global_Fi_Ultra,3,"聚合多源金融数据并提供AI分析",https://github.com/web-dev-vishal/Global_Fi_Ultra
企业商业应用,AI/LLM工具,AI聊天界面,Shivam10-7/Ingres-2.0,1,"通过聊天机器人查询地下水数据",https://github.com/Shivam10-7/Ingres-2.0
企业商业应用,社交/社区,社交其他,tzipiwalles/bul,1,"连接哈雷迪专业人士与客户",https://github.com/tzipiwalles/bul
企业商业应用,社交/社区,即时通讯,Shivam10-7/Ingres-2.0,1,"通过聊天机器人查询地下水数据",https://github.com/Shivam10-7/Ingres-2.0
企业商业应用,社交/社区,论坛社区,Samuel-0228/Sabi-Market,1,"构建社区二手交易平台",https://github.com/Samuel-0228/Sabi-Market
企业商业应用,教育学习,教育其他,SamPrice2003/Railway-tracker,2,"追踪英国火车时刻与延误",https://github.com/SamPrice2003/Railway-tracker
企业商业应用,教育学习,课程管理系统,gosayla/gym_app,0,"健身房会员与课程管理系统",https://github.com/gosayla/gym_app
企业商业应用,教育学习,编程学习平台,TornovDutta/EcommerceProject,0,"构建编程书籍电商平台",https://github.com/TornovDutta/EcommerceProject
企业商业应用,物联网/硬件,物联网/硬件其他,Shivam10-7/Ingres-2.0,1,"通过聊天机器人查询地下水数据",https://github.com/Shivam10-7/Ingres-2.0
企业商业应用,物联网/硬件,管理系统,HenioJunior/algasensors-device-management,0,"管理藻类传感器设备",https://github.com/HenioJunior/algasensors-device-management
企业商业应用,物联网/硬件,监控工具,NAndersonBLX/cchs-coldest-spaces,0,"监控CCHS最冷空间",https://github.com/NAndersonBLX/cchs-coldest-spaces
企业商业应用,开发工具/脚手架,开发工具其他,Marcemmanuel1/website-ecommerce,0,"基于官方模板的电商网站原型",https://github.com/Marcemmanuel1/website-ecommerce
企业商业应用,开发工具/脚手架,构建工具,langs235/tripfind-waitlist,0,"收集用户邮件以构建等待列表",https://github.com/langs235/tripfind-waitlist
企业商业应用,开发工具/脚手架,前端框架模板,vlat247/quuint,1,"基于Next.js的SaaS B2B启动项目",https://github.com/vlat247/quuint
企业商业应用,电商平台,电商平台其他,Omprajapati1011/ecommerce-project,3,"构建电商项目原型",https://github.com/Omprajapati1011/ecommerce-project
企业商业应用,电商平台,管理系统,kankan223/business-dazzle,1,"为印度中小企业提供AI客服与订单管理",https://github.com/kankan223/business-dazzle
企业商业应用,电商平台,应用平台,Samuel-0228/Sabi-Market,1,"构建社区二手交易平台",https://github.com/Samuel-0228/Sabi-Market
企业商业应用,代理/网关,网关其他,hikaruumeyama-png/vuln-agent,0,"自动分析漏洞邮件并通知负责人",https://github.com/hikaruumeyama-png/vuln-agent
企业商业应用,代理/网关,API网关,VelaCore-VEC/VelaCore-dApp,0,"为中小企业提供稳定币支付网关",https://github.com/VelaCore-VEC/VelaCore-dApp
企业商业应用,游戏/娱乐,游戏其他,insang3663-netizen/gangseoshirt2,0,"展示豪华娱乐场所网站",https://github.com/insang3663-netizen/gangseoshirt2
企业商业应用,编译器/开发环境,数据分析工具,zachyking/triage-warden,0,"自动化安全事件分析与响应",https://github.com/zachyking/triage-warden
企业商业应用,编译器/开发环境,监控工具,ticoraph/ReadyToSpendMonitor,0,"部署和监控信用评分模型",https://github.com/ticoraph/ReadyToSpendMonitor
企业商业应用,编译器/开发环境,管理系统,karthik-2710/Delivery-Partner-Portal,0,"为配送骑手管理订单和收入",https://github.com/karthik-2710/Delivery-Partner-Portal
企业商业应用,医疗健康,医疗其他,khanhduong290409/PETCLINIC_REPR,0,"宠物诊所系统原型",https://github.com/khanhduong290409/PETCLINIC_REPR
企业商业应用,医疗健康,药品管理系统,mrstk123/PharmacyStock,0,"管理药房库存与药品信息",https://github.com/mrstk123/PharmacyStock
企业商业应用,医疗健康,健康监测应用,iamabdulmozid/healthy-super-mart-admin,0,"健康超市后台管理系统",https://github.com/iamabdulmozid/healthy-super-mart-admin
企业商业应用,内容管理系统,内容管理系统其他,asolache/teamtowershuma,1,"展示人力资源咨询公司服务",https://github.com/asolache/teamtowershuma
企业商业应用,内容管理系统,内容管理系统,smonier/archive,0,"为Jahia内容管理系统添加归档功能",https://github.com/smonier/archive
企业商业应用,内容管理系统,管理系统,AisteaTypo3/ais_career,0,"为TYPO3网站添加招聘管理功能",https://github.com/AisteaTypo3/ais_career
企业商业应用,媒体/视频,媒体其他,simonjeonsw/ai-system-spec,0,"自动化生成财经YouTube视频内容",https://github.com/simonjeonsw/ai-system-spec
企业商业应用,其他,其他其他,kloppnr1/DataHub.Exploration,1,"丹麦电力供应商结算系统",https://github.com/kloppnr1/DataHub.Exploration
个人生活,网站/门户,作品集展示站,gruks/portfolio,1,"展示个人作品集网站",https://github.com/gruks/portfolio
个人生活,网站/门户,网站其他,nicejade/life-spent,3,"基于年龄计算生命已逝比例",https://github.com/nicejade/life-spent
个人生活,网站/门户,个人博客网站,JingkaiTang/JingkaiTang.github.io,1,"个人博客站点搭建与内容管理",https://github.com/JingkaiTang/JingkaiTang.github.io
个人生活,数据可视化/BI,数据可视化其他,LucasMontenegroM/CatalogosMVC,0,"管理用户和书籍记录的CRUD系统",https://github.com/LucasMontenegroM/CatalogosMVC
个人生活,数据可视化/BI,商业分析工具,johanzander/home-analytics,0,"家庭能源消耗与成本分析",https://github.com/johanzander/home-analytics
个人生活,数据可视化/BI,图表报表工具,Ignotum77/Ignotum77,0,"展示个人开发者简介与统计",https://github.com/Ignotum77/Ignotum77
个人生活,教育学习,教育其他,LucasMontenegroM/CatalogosMVC,0,"管理用户和书籍记录的CRUD系统",https://github.com/LucasMontenegroM/CatalogosMVC
个人生活,企业管理,企业管理其他,HIM049/HtmxBlog,2,"构建个人博客系统",https://github.com/HIM049/HtmxBlog
个人生活,企业管理,财务管理系统,fahad4787/FInance-Management,0,"基于React+Vite模板的个人财务管理",https://github.com/fahad4787/FInance-Management
个人生活,企业管理,项目管理系统,hishamshafi123/calander-task,0,"个人任务管理与日历可视化",https://github.com/hishamshafi123/calander-task
个人生活,设计工具,设计工具其他,nicejade/life-spent,3,"基于年龄计算生命已逝比例",https://github.com/nicejade/life-spent
个人生活,设计工具,UI/UX设计工具,EhtashamShaniGraphicDesigner/Ehtasham-Shani-GraphicDesigner,0,"展示个人设计作品集",https://github.com/EhtashamShaniGraphicDesigner/Ehtasham-Shani-GraphicDesigner
个人生活,开发工具/脚手架,开发工具其他,JingkaiTang/JingkaiTang.github.io,1,"个人博客站点搭建与内容管理",https://github.com/JingkaiTang/JingkaiTang.github.io
个人生活,开发工具/脚手架,前端框架模板,JJAllanLLC/goldenretriever-hair,0,"基于Next.js模板的网站项目",https://github.com/JJAllanLLC/goldenretriever-hair
个人生活,内容管理系统,内容管理系统其他,HIM049/HtmxBlog,2,"构建个人博客系统",https://github.com/HIM049/HtmxBlog
个人生活,内容管理系统,内容管理系统,JingkaiTang/JingkaiTang.github.io,1,"个人博客站点搭建与内容管理",https://github.com/JingkaiTang/JingkaiTang.github.io
个人生活,内容管理系统,内容生成器,OscarPindaro/new-blog-design,0,"实验HTML CSS和Jekyll创建个人博客",https://github.com/OscarPindaro/new-blog-design
个人生活,游戏/娱乐,游戏其他,JingkaiTang/JingkaiTang.github.io,1,"个人博客站点搭建与内容管理",https://github.com/JingkaiTang/JingkaiTang.github.io
个人生活,自动化/工作流,自动化其他,JingkaiTang/JingkaiTang.github.io,1,"个人博客站点搭建与内容管理",https://github.com/JingkaiTang/JingkaiTang.github.io
个人生活,AI/LLM工具,AI其他应用,gruks/portfolio,1,"展示个人作品集网站",https://github.com/gruks/portfolio
个人生活,AI/LLM工具,AI数据分析,rohitsinghcoder/opsforge,0,"展示个人作品集并提供AI分析",https://github.com/rohitsinghcoder/opsforge
个人生活,社交/社区,社交其他,PaulCMatthews/Music,0,"存储和分享个人乐谱文件",https://github.com/PaulCMatthews/Music
个人生活,医疗健康,健康监测应用,habit-mangement-org/habit-frontend,0,"帮助用户创建和追踪习惯",https://github.com/habit-mangement-org/habit-frontend
个人生活,医疗健康,医疗其他,ARHYN-LABS/microapp-diet1,0,"AI解读食品标签成分",https://github.com/ARHYN-LABS/microapp-diet1
个人生活,安全/隐私,安全其他,blaix/growth,0,"个人自我提升应用",https://github.com/blaix/growth
个人生活,金融/交易,交易投资平台,DhruvParashar246/TickTrack,0,"个人投资组合跟踪与盈亏计算",https://github.com/DhruvParashar246/TickTrack
个人生活,金融/交易,金融其他,2shanez/vaada,0,"通过智能合约让用户押注个人目标完成",https://github.com/2shanez/vaada
个人生活,其他,其他其他,daniboom-1M/WEB,1,"展示个人网页内容",https://github.com/daniboom-1M/WEB
个人生活,其他,内容生成器,eduardo-weise/wedding-page,0,"为个人婚礼创建移动优先的展示页面",https://github.com/eduardo-weise/wedding-page
个人生活,媒体/视频,媒体其他,su-Insight/moretalk,5,"简化老年用户微信通话流程",https://github.com/su-Insight/moretalk
个人生活,电商平台,管理系统,daniloneto/marketlist,0,"购物清单管理与价格追踪",https://github.com/daniloneto/marketlist
娱乐媒体,游戏/娱乐,游戏其他,salmanbappi/Tsukimi,1,"在Android上高性能阅读漫画",https://github.com/salmanbappi/Tsukimi
娱乐媒体,游戏/娱乐,策略模拟游戏,cynfria/will-it-jello,0,"模拟3D果冻物理效果的交互体验",https://github.com/cynfria/will-it-jello
娱乐媒体,游戏/娱乐,游戏Mod/插件,JackOfNoneTrades/AnExtraTouch,2,"为Minecraft游戏添加视觉和音频增强",https://github.com/JackOfNoneTrades/AnExtraTouch
娱乐媒体,网站/门户,网站其他,renfuji12/bacalhau,1,"自托管IPTV播放器",https://github.com/renfuji12/bacalhau
娱乐媒体,网站/门户,作品集展示站,Enkk17/mondialbi,0,"展示儿童绘本的在线画廊",https://github.com/Enkk17/mondialbi
娱乐媒体,数据可视化/BI,数据可视化其他,Kingshot-Atlas/Kingshot-Atlas,0,"为游戏玩家提供王国数据查询与比较",https://github.com/Kingshot-Atlas/Kingshot-Atlas
