
============================================================
dev_tool_boilerplate: 160 items
============================================================

1. TechmoHamster/ultimate-scavenger
   Intent: 提供React+Vite的快速启动模板
   Desc: N/A
   Macro: 基础设施与底层组件

32. Park-Jeong-Gil/DDatgeSuvival
   Intent: 创建Next.js默认模板项目
   Desc: N/A
   Macro: 产品与系统原型

33. rohitdevsol/m8m
   Intent: 快速搭建Turborepo与Prisma的脚手架
   Desc: N/A
   Macro: 基础设施与底层组件

34. andreadifelice/tournament-manager-back
   Intent: 提供PHP REST API后端模板
   Desc: N/A
   Macro: 基础设施与底层组件

35. LavieNroseee/web
   Intent: 提供React+Vite基础开发模板
   Desc: N/A
   Macro: 基础设施与底层组件

36. coCHELOice/lumen-arkhe
   Intent: 创建基础网站模板
   Desc: sitio revista
   Macro: 基础设施与底层组件

37. groovyrey/nexo
   Intent: 创建Next.js应用模板
   Desc: N/A
   Macro: 产品与系统原型

38. adarshtiwaridev/Akanis
   Intent: 基于Next.js的默认模板项目
   Desc: N/A
   Macro: 产品与系统原型

39. DebSol11/odin-cv-application
   Intent: 基于官方模板的React应用初始化
   Desc: Project: CV Application
   Macro: 产品与系统原型

40. ouzman00/senegal-backend
   Intent: 提供React+Vite的默认模板
   Desc: N/A
   Macro: 基础设施与底层组件

41. WoofZJ/codeart-online
   Intent: 创建Astro基础模板网站
   Desc: N/A
   Macro: 基础设施与底层组件

42. suksomsri7/goodfood-menu
   Intent: 展示Next.js默认模板项目
   Desc: N/A
   Macro: 产品与系统原型

43. AtiqurCode/java-not-authenticate-messaging-app-spring-boot-frontend
   Intent: 提供Nuxt UI的快速启动模板
   Desc: java-not-authenticate-messaging-app-spring-boot-frontend
   Macro: 基础设施与底层组件

44. coderamit01/skill-bridge-frontend
   Intent: 创建Next.js前端项目模板
   Desc: N/A
   Macro: 基础设施与底层组件

45. futureaspirent/frontend
   Intent: React + Vite 前端开发模板
   Desc: N/A
   Macro: 基础设施与底层组件

46. mlpoffff/nuxt-electron-template
   Intent: 提供Nuxt与Electron集成模板
   Desc: N/A
   Macro: 基础设施与底层组件

47. annidarn/Perpustakaan-Stetsa
   Intent: Laravel框架的默认项目模板
   Desc: N/A
   Macro: 基础设施与底层组件

48. wilrogerdc-coder/cheklistmotoristas
   Intent: 运行和部署AI Studio应用
   Desc: N/A
   Macro: 产品与系统原型

49. tech-monarch/schepen-kring-be
   Intent: Laravel框架的默认项目模板
   Desc: N/A
   Macro: 基础设施与底层组件

50. molly-pemulis/horizon-theme
   Intent: 为网站或应用提供主题样式
   Desc: N/A
   Macro: 基础设施与底层组件

51. AK5200/yettobedecided
   Intent: 创建Next.js默认模板项目
   Desc: N/A
   Macro: 产品与系统原型

52. MatheusGothe/simple-greeting-page
   Intent: 创建Expo应用的初始模板
   Desc: N/A
   Macro: 基础设施与底层组件

53. aouchcha/Angul-it
   Intent: 生成Angular项目基础框架
   Desc: N/A
   Macro: 基础设施与底层组件

54. raunak5616/seller-desi-cart
   Intent: 基于Vite模板的React项目初始化
   Desc: N/A
   Macro: 基础设施与底层组件

55. Ankit-Dhingra/Auth-web
   Intent: 提供React+Vite的快速启动模板
   Desc: N/A
   Macro: 基础设施与底层组件

56. nickthelegend/whisper-network
   Intent: 创建Next.js默认模板项目
   Desc: N/A
   Macro: 产品与系统原型

57. bb2026-cerberus/cerberus-be
   Intent: 提供Spring Boot后端基础模板
   Desc: N/A
   Macro: 基础设施与底层组件

58. VicBrnd/brnd-app-main
   Intent: 创建Next.js默认模板项目
   Desc: N/A
   Macro: 产品与系统原型

59. Suprabhat3/letter-love
   Intent: 创建Next.js默认模板项目
   Desc: N/A
   Macro: 产品与系统原型

60. ucheigbonacho/adora-ops
   Intent: 创建Next.js应用模板
   Desc: N/A
   Macro: 基础设施与底层组件

61. divyalahane/adminpanel
   Intent: 创建React+Vite管理面板模板
   Desc: N/A
   Macro: 基础设施与底层组件

62. REDICALED/hnhyn_2
   Intent: 创建Next.js默认模板项目
   Desc: N/A
   Macro: 产品与系统原型

63. eekem/poshprompt
   Intent: 基于Next.js模板的默认项目
   Desc: N/A
   Macro: 产品与系统原型

64. ilaydaufelek/Talky
   Intent: 创建Next.js应用模板
   Desc: N/A
   Macro: 产品与系统原型

65. elitam/tchitchen
   Intent: 创建Next.js默认模板项目
   Desc: N/A
   Macro: 产品与系统原型

66. systentandobr/html-landing-pages
   Intent: 部署 FastHTML 应用到 Railway 的模板
   Desc: N/A
   Macro: 基础设施与底层组件

67. Jeison1999/MS_Tu_Casa
   Intent: Angular框架的默认项目模板
   Desc: N/A
   Macro: 产品与系统原型

68. VIVEK-4798/RoleReady-Nextjs
   Intent: 基于Next.js模板的初始项目
   Desc: N/A
   Macro: 基础设施与底层组件

69. lilusia-li/vrtech
   Intent: 基于Next.js模板的默认项目
   Desc: N/A
   Macro: 产品与系统原型

70. runshine/SecFlowFrontend
   Intent: 运行和部署AI Studio应用
   Desc: SecFlowFrontend
   Macro: 产品与系统原型

71. vlat247/quuint
   Intent: 创建Next.js应用模板
   Desc: saas b2b startup
   Macro: 产品与系统原型

72. MarvinBT1988/FullStackMERNFrontend
   Intent: 提供React+Vite基础模板
   Desc: N/A
   Macro: 基础设施与底层组件

73. hyungeunseanson/locally-web
   Intent: 基于Next.js的默认模板项目
   Desc: N/A
   Macro: 产品与系统原型

74. MCT-Salman/AL-Zafari-Front
   Intent: 快速启动React项目模板
   Desc: N/A
   Macro: 基础设施与底层组件

75. Safyian/Splitify-App
   Intent: Flutter应用初始模板
   Desc: N/A
   Macro: 产品与系统原型

76. Estoms/WilFit
   Intent: 基于Next.js模板的初始项目
   Desc: N/A
   Macro: 产品与系统原型

77. Kashy222/anuva-investments
   Intent: 创建React+Vite基础项目模板
   Desc: N/A
   Macro: 基础设施与底层组件

78. PDA-AU/PF26
   Intent: 搭建全栈Web应用基础框架
   Desc: N/A
   Macro: 产品与系统原型

79. Tate-T/zerniatko-project
   Intent: 提供React+Vite基础开发模板
   Desc: N/A
   Macro: 基础设施与底层组件

80. cozmostar/da_portfolio
   Intent: 展示个人作品集
   Desc: N/A
   Macro: 产品与系统原型

81. berkanbiyikli/bilyoner-assistant
   Intent: 基于Next.js模板的默认项目
   Desc: N/A
   Macro: 产品与系统原型

82. Rokhaya-toure/YobalemaBack
   Intent: Flutter应用开发入门模板
   Desc: N/A
   Macro: 基础设施与底层组件

83. olesia-kokhman/travel-agency-front
   Intent: 创建React+Vite前端模板
   Desc: N/A
   Macro: 基础设施与底层组件

84. jemyjevaa/Busmen-Panama
   Intent: Flutter应用初始模板
   Desc: N/A
   Macro: 产品与系统原型

85. pglmio/htlfix
   Intent: 提供Vue 3 + Vite开发模板
   Desc: N/A
   Macro: 基础设施与底层组件

86. jefersoncoop/app
   Intent: 创建Next.js默认模板应用
   Desc: N/A
   Macro: 产品与系统原型

87. low1006/dreamsync
   Intent: Flutter应用初始模板
   Desc: N/A
   Macro: 产品与系统原型

88. AriSolla/facturadora
   Intent: 创建React + TypeScript + Vite模板
   Desc: N/A
   Macro: 基础设施与底层组件

89. thewebsitewiz/cannasaas
   Intent: NestJS框架的TypeScript启动模板
   Desc: N/A
   Macro: 基础设施与底层组件

90. vjohannesb/nextjs-template
   Intent: 提供生产就绪的Next.js应用模板
   Desc: NextJS template with Bun + Biome + Shadcn (no react compiler)
   Macro: 基础设施与底层组件

91. LucasHenderson/leo-gas
   Intent: Angular项目初始化模板
   Desc: N/A
   Macro: 基础设施与底层组件

92. jhortolano/topfc
   Intent: 提供React+Vite模板
   Desc: Topfc
   Macro: 基础设施与底层组件

93. 60e06b67-4da8-4b13-bd37-7b6e66407eb9/1d609b06-ab81-4fe3-bced-36ed2d
   Intent: 生成占位仓库或测试项目
   Desc: N/A
   Macro: 基础设施与底层组件

94. olympus-btc/ambrosia-website
   Intent: 创建Astro基础模板网站
   Desc: N/A
   Macro: 产品与系统原型

95. hsanzriesco/ajcar25
   Intent: 创建Next.js默认模板项目
   Desc: N/A
   Macro: 产品与系统原型

96. RudyLabor/squadplanner
   Intent: 提供React+Vite开发模板
   Desc: N/A
   Macro: 基础设施与底层组件

97. Natuclinic/natuclinic-site
   Intent: 基于官方模板的React+Vite项目
   Desc: N/A
   Macro: 产品与系统原型

98. waleedali7825-ship-it/hamkoders-new.com
   Intent: 基于Next.js模板的网站项目
   Desc: N/A
   Macro: 产品与系统原型

99. marcelobueno77/LegadoApp
   Intent: 基于Next.js模板的应用程序
   Desc: Aplicação do Ministério Legado
   Macro: 产品与系统原型

100. emb8767/pioneer
   Intent: 创建Next.js默认模板项目
   Desc: N/A
   Macro: 产品与系统原型

101. glen112-bit/buscanotas
   Intent: 创建React+Vite+TypeScript项目模板
   Desc: acordes
   Macro: 基础设施与底层组件

102. yoshlarventures/ambassadors
   Intent: 创建Next.js应用模板
   Desc: N/A
   Macro: 产品与系统原型

103. ryanekop/fastpik
   Intent: 创建Next.js默认模板项目
   Desc: N/A
   Macro: 产品与系统原型

104. DamicodeX/Dev-Events
   Intent: 展示Next.js默认模板项目
   Desc: N/A
   Macro: 产品与系统原型

105. Rany234/ai-hub-platform
   Intent: 基于Next.js的AI平台原型
   Desc: N/A
   Macro: 产品与系统原型

106. lucilaprieto8/cosquin-schedule
   Intent: 展示Next.js默认模板项目
   Desc: N/A
   Macro: 产品与系统原型

107. Shashank0701-byte/System-Craft
   Intent: 创建Next.js应用模板
   Desc: N/A
   Macro: 基础设施与底层组件

108. abdirahmanburyar1/agency
   Intent: 创建Next.js应用模板
   Desc: N/A
   Macro: 基础设施与底层组件

109. aibekaitan/blogger-platform
   Intent: NestJS框架的官方TypeScript启动模板
   Desc: N/A
   Macro: 基础设施与底层组件

110. devvault2026/IndeedBot2026
   Intent: Next.js项目模板
   Desc: N/A
   Macro: 产品与系统原型

111. shadowhuskyxx-ship-it/company-dashboard
   Intent: React+Vite+TypeScript项目模板
   Desc: Company Analytics Terminal v2.0 - Retro UI dashboard
   Macro: 基础设施与底层组件

112. Chifrica/Varse-Admin2
   Intent: 提供React+Vite开发模板
   Desc: N/A
   Macro: 基础设施与底层组件

113. ranggacaw/ticketing-laravel
   Intent: Laravel框架的官方文档副本
   Desc: N/A
   Macro: 基础设施与底层组件

114. mukeshkumar7848/limit
   Intent: 创建Next.js默认模板项目
   Desc: N/A
   Macro: 产品与系统原型

115. amine31-dz/iaexpo2026
   Intent: 部署静态网站模板
   Desc: N/A
   Macro: 基础设施与底层组件

116. Lorenzo05-creator/laravel10
   Intent: Laravel框架的官方文档副本
   Desc: N/A
   Macro: 基础设施与底层组件

117. perviz24/wiseflow-question-generator
   Intent: 基于Next.js模板的快速启动项目
   Desc: N/A
   Macro: 产品与系统原型

118. guduru-bhargav/hobby-dating
   Intent: 创建React Vite模板项目
   Desc: N/A
   Macro: 基础设施与底层组件

119. Gahroot/AWPContract
   Intent: 创建Next.js应用模板
   Desc: N/A
   Macro: 基础设施与底层组件

120. ArsenZar/og-monorep
   Intent: 提供Turborepo官方模板项目
   Desc: N/A
   Macro: 基础设施与底层组件

121. davidorregodiaz/mantenimiento-clientes
   Intent: 创建React应用基础框架
   Desc: N/A
   Macro: 基础设施与底层组件

122. College-of-Arts-and-Science-IT/transfer
   Intent: 基于T3 Stack的Web应用脚手架
   Desc: N/A
   Macro: 产品与系统原型

123. TheGAzed/a-c-data-structure-book
   Intent: 提供Springer Nature文档模板
   Desc: N/A
   Macro: 基础设施与底层组件

124. primusa/phoenix
   Intent: 自动化部署Spring Boot应用到AWS
   Desc: N/A
   Macro: 基础设施与底层组件

125. dyivanov/CITY-CARS-2000
   Intent: 创建Next.js应用模板
   Desc: N/A
   Macro: 基础设施与底层组件

126. useportal-app/useportal.app
   Intent: 创建Next.js应用模板
   Desc: N/A
   Macro: 基础设施与底层组件

127. henrisaragi/graccess
   Intent: 基于Laravel框架的Web应用
   Desc: Aplikasih GR Access
   Macro: 产品与系统原型

128. SyqonCollective/4vape
   Intent: 提供React+Vite基础模板
   Desc: N/A
   Macro: 基础设施与底层组件

129. Dany1211/Adhikaar
   Intent: 创建React Native应用模板
   Desc: N/A
   Macro: 基础设施与底层组件

130. ashoffice01/VANDIAMS
   Intent: 创建Next.js默认模板项目
   Desc: N/A
   Macro: 产品与系统原型

131. phani-15/Cresence-2k26-frontend
   Intent: 基于React+Vite模板的前端项目
   Desc: N/A
   Macro: 产品与系统原型

132. Muhd-Saifullah-dev/reqzilla
   Intent: 基于Next.js模板的默认项目
   Desc: N/A
   Macro: 产品与系统原型

133. VictorAlvesOliveira/task-manager
   Intent: 快速启动React项目模板
   Desc: N/A
   Macro: 基础设施与底层组件

134. akardas16/composeweb
   Intent: 构建跨平台Web应用模板
   Desc: N/A
   Macro: 基础设施与底层组件

135. viki-web/woodrock-frontend
   Intent: 创建Next.js前端应用模板
   Desc: N/A
   Macro: 产品与系统原型

136. Caique-S/routetime
   Intent: 创建Next.js应用模板
   Desc: Easy Tracking
   Macro: 基础设施与底层组件

137. Brooklyn-STEAM/10048-Promoting-Affordable-Exploration-Through-Innovative-Interfaces
   Intent: 项目名称与内容不明确
   Desc: N/A
   Macro: 产品与系统原型

138. joahnnsmiley-cpu/eventseatbot
   Intent: 部署AI Studio生成的应用
   Desc: N/A
   Macro: 产品与系统原型

139. daFoggo/basecn
   Intent: 创建Next.js默认模板项目
   Desc: N/A
   Macro: 产品与系统原型

140. MrElba1-cmyk/vaultfill-prod
   Intent: 基于Next.js模板的默认项目
   Desc: N/A
   Macro: 产品与系统原型

141. miraclesolutionsdev/miracle-front
   Intent: 提供React+Vite的模板项目
   Desc: N/A
   Macro: 基础设施与底层组件

142. sainty1970/chalet-josephine
   Intent: 创建Astro静态网站模板
   Desc: Chalet Josephine repository
   Macro: 基础设施与底层组件

143. trymsn1992-dev/Sklimore
   Intent: 创建Next.js默认模板项目
   Desc: N/A
   Macro: 产品与系统原型

144. JamoTheDruid/my-next-app
   Intent: 创建Next.js应用模板
   Desc: N/A
   Macro: 基础设施与底层组件

145. TanishqKashla/raskrtiart
   Intent: 基于Next.js模板的初始项目
   Desc: N/A
   Macro: 产品与系统原型

146. team-100degreeclub/claw-frontend
   Intent: 基于Next.js模板的Web应用前端
   Desc: N/A
   Macro: 产品与系统原型

147. DevelopmentInfopae/app_infopae
   Intent: Flutter移动应用开发
   Desc: App movil infopae
   Macro: 产品与系统原型

148. Natnsis/Studio
   Intent: 提供React Native应用开发模板
   Desc: N/A
   Macro: 基础设施与底层组件

149. KrishnanN27/sknk.fyi
   Intent: 提供React+Vite基础模板
   Desc: N/A
   Macro: 基础设施与底层组件

150. dinexservices/codeandchill
   Intent: 创建Next.js默认模板项目
   Desc: N/A
   Macro: 产品与系统原型

151. Getabalewu/cafteria-qrcode-project
   Intent: Laravel框架的官方介绍文档
   Desc: N/A
   Macro: 基础设施与底层组件

152. Vibe-Coding-PowerApps/Power-Intake
   Intent: 为Power Apps提供React+Vite模板
   Desc: N/A
   Macro: 基础设施与底层组件

153. emir243/balkangreen-web
   Intent: 创建Next.js默认模板项目
   Desc: N/A
   Macro: 产品与系统原型

154. runningrandall/serverless-template
   Intent: 提供全栈无服务器应用模板
   Desc: Template monorepo base
   Macro: 基础设施与底层组件

155. naaseweb/naaseweb.github.io
   Intent: 为学术组织提供静态网站模板
   Desc: Website of the North American Association of Sports Economists
   Macro: 基础设施与底层组件

156. viniciusdossantoslopes07-pixel/Gest-o-de-Ocorr-ncias
   Intent: 运行和部署AI Studio应用
   Desc: N/A
   Macro: 产品与系统原型

157. AlessandroCoretti/silla-barber-shop
   Intent: 创建React+Vite基础模板
   Desc: N/A
   Macro: 基础设施与底层组件

158. piuspavliuk-wq/pavliukweb
   Intent: 创建Next.js默认项目模板
   Desc: N/A
   Macro: 产品与系统原型

159. lati-bot/overtaxed
   Intent: 创建Next.js默认模板项目
   Desc: N/A
   Macro: 产品与系统原型

160. VoxeFlow/modern-aura
   Intent: 提供React+Vite基础开发模板
   Desc: N/A
   Macro: 基础设施与底层组件


============================================================
prototype_mvp: 61 items
============================================================

1. murphysheldon05/tsmroofpro
   Intent: 基于AI快速构建Web应用原型
   Desc: N/A
   Macro: 产品与系统原型

2. juancarloshoyosarias-code/ASCSolarWebEnergy
   Intent: 将Figma设计转换为可运行代码
   Desc: N/A
   Macro: 产品与系统原型

3. vishwajit15-git/Wanderlust
   Intent: 项目迁移或重构
   Desc: IN PRODUCTION
   Macro: 基础设施与底层组件

4. hngabo-lang/alu-shell
   Intent: 提供简单的Shell脚本环境
   Desc: N/A
   Macro: 基础设施与底层组件

5. Nikhil-Narwade/Project_1
   Intent: 创建基础HTML项目
   Desc: N/A
   Macro: 个人效能与辅助工具

6. JJAllanLLC/goldenretriever-hair
   Intent: 创建金毛犬网站
   Desc: Golden Retriever website
   Macro: 产品与系统原型

7. Adangomes/mydidelivery
   Intent: 未知，仅含仓库名
   Desc: N/A
   Macro: 产品与系统原型

8. Rafaeros/smp-web
   Intent: 消费SMP Spring Boot API的网页
   Desc: Next.js web page to consume smp spring boot api
   Macro: 产品与系统原型

9. J0joFra/formula_rossa
   Intent: 项目名称和README内容不足
   Desc: N/A
   Macro: 产品与系统原型

10. JCambras/min-demo
   Intent: AI工作流编排演示
   Desc: N/A
   Macro: 基础设施与底层组件

11. serseopl/plugin11
   Intent: 插件开发或测试
   Desc: d
   Macro: 基础设施与底层组件

12. Baxxyo/Web2
   Intent: 创建基础网页项目
   Desc: project web2
   Macro: 产品与系统原型

13. zeeshan-Shakeel/NestJS-SecureAuthSystem
   Intent: 构建安全的身份验证系统
   Desc: N/A
   Macro: 基础设施与底层组件

14. hxttm/Edith-Doris_IP
   Intent: 托管静态网页或文件
   Desc: N/A
   Macro: 基础设施与底层组件

15. futureaspirent/backend
   Intent: 后端系统开发
   Desc: N/A
   Macro: 产品与系统原型

16. paroteen/parot
   Intent: 项目信息不足，无法判断
   Desc: N/A
   Macro: 个人效能与辅助工具

17. ramikassas/RDM
   Intent: 未知项目功能
   Desc: N/A
   Macro: 个人效能与辅助工具

18. SergeAma/acfe-acbc959d
   Intent: 通过AI提示构建Web应用
   Desc: N/A
   Macro: 产品与系统原型

19. DevSamSheikh/Fairless-Confession
   Intent: 未知项目功能
   Desc: N/A
   Macro: 产品与系统原型

20. elainesx09-afk/gusatvossa
   Intent: 基于AI提示生成Web应用
   Desc: N/A
   Macro: 产品与系统原型

21. CaganL/Void-Bot-V2
   Intent: 未知功能的Python机器人
   Desc: N/A
   Macro: 个人效能与辅助工具

22. abdcev/temp
   Intent: 临时存储或测试代码
   Desc: N/A
   Macro: 个人效能与辅助工具

23. lucaiaco21/Pythia
   Intent: 构建一个Streamlit应用
   Desc: Codigo por streamlit app
   Macro: 产品与系统原型

24. Djmon007/loipen-zeiten
   Intent: 基于Lovable平台的AI生成项目
   Desc: N/A
   Macro: 产品与系统原型

25. RuslanSat/WEBbackendFinal
   Intent: 构建Web后端项目
   Desc: N/A
   Macro: 产品与系统原型

26. iamvasiliev143/kit_global_llc
   Intent: 基于 Nest 和 MongoDB 的后端服务
   Desc: N/A
   Macro: 基础设施与底层组件

27. guardiaodabateria/guardiaodabateria1
   Intent: 项目名称占位或测试
   Desc: N/A
   Macro: 个人效能与辅助工具

28. darkezy/ST
   Intent: 项目信息不足，无法判断
   Desc: N/A
   Macro: 个人效能与辅助工具

29. aungwinthant/gitamix-frontend
   Intent: 构建Gitamix的前端界面
   Desc: Frontend Web App for Gitamix
   Macro: 产品与系统原型

30. CassiaPerez/CropLog
   Intent: 部署AI Studio生成的应用程序
   Desc: N/A
   Macro: 产品与系统原型

31. sepesports/streamlit-app
   Intent: 构建一个Streamlit应用
   Desc: N/A
   Macro: 产品与系统原型

32. edbanegas11/contratoshorizonte
   Intent: 未知项目功能
   Desc: N/A
   Macro: 个人效能与辅助工具

33. daniboom-1M/WEB
   Intent: 创建基础网页
   Desc: N/A
   Macro: 产品与系统原型

34. dmitrokey/gmed
   Intent: 未知项目功能
   Desc: N/A
   Macro: 个人效能与辅助工具

35. ROI-CAS/landingfindolor
   Intent: 通过AI生成前端应用原型
   Desc: N/A
   Macro: 产品与系统原型

36. FuriFL/Furi_Secret
   Intent: 未知功能或实验性项目
   Desc: N/A
   Macro: 个人效能与辅助工具

37. ryuya-source/kitaura
   Intent: 将UI设计原型实现为Next.js网站
   Desc: N/A
   Macro: 产品与系统原型

38. rawilliams0407/Cold-Front-Calls
   Intent: 部署AI Studio生成的应用程序
   Desc: Cold Front Call's Website
   Macro: 产品与系统原型

39. tinashecee/boardroombuddy
   Intent: 通过AI快速生成全栈Web应用
   Desc: N/A
   Macro: 产品与系统原型

40. raulfc140980/tt4-2920
   Intent: 测试仓库或实验性项目
   Desc: N/A
   Macro: 个人效能与辅助工具

41. Kanth-eri/crudprojedata
   Intent: 构建一个CRUD应用原型
   Desc: N/A
   Macro: 产品与系统原型

42. dheenadhayalan071-debug/policy-path-frontend
   Intent: 在Replit上快速启动React前端项目
   Desc: N/A
   Macro: 基础设施与底层组件

43. pablomorillas/ConsumoApiDinProyecto
   Intent: 展示建筑列表的网站
   Desc: N/A
   Macro: 产品与系统原型

44. caffeinepub/concept-delta-mht-cet-mock-tests
   Intent: 修复移动端三点菜单显示问题
   Desc: Exported from Caffeine project: Fix mobile three-dot menu opening to avoid transparent/blank background and recurring menu overlay issue
   Macro: 产品与系统原型

45. yvayvapyvapyva/view
   Intent: 提供简单网页查看功能
   Desc: просмотр
   Macro: 个人效能与辅助工具

46. LuizFelipe2023/DevReport
   Intent: Laravel框架的官方文档页面
   Desc: N/A
   Macro: 基础设施与底层组件

47. 0x62656b6b657474/lg-live
   Intent: 展示 Langthorne Gironde 内容
   Desc: Langthorne Gironde
   Macro: 产品与系统原型

48. c-ster/QuantumLeap_website
   Intent: 创建量子计算相关网站
   Desc: N/A
   Macro: 产品与系统原型

49. leletns/lhex-portal
   Intent: 创建门户网站
   Desc: N/A
   Macro: 产品与系统原型

50. Sabasaba1-23/book-fit-georgia
   Intent: 基于Lovable平台的AI生成项目
   Desc: N/A
   Macro: 产品与系统原型

51. Rodion-sketch/testflamelix2026
   Intent: 测试 Lovable AI 平台生成的项目
   Desc: N/A
   Macro: 产品与系统原型

52. akdeb/raksa-ai
   Intent: 部署AI Studio应用
   Desc: ai for thailand police
   Macro: 产品与系统原型

53. raluxsolar/Ralux-calculator
   Intent: 太阳能系统成本计算器
   Desc: N/A
   Macro: 产品与系统原型

54. NilirYT/DarkNightDayZ
   Intent: 未知项目意图
   Desc: N/A
   Macro: 个人效能与辅助工具

55. Yusuf17X/Hackathon-test
   Intent: 测试或演示项目
   Desc: N/A
   Macro: 个人效能与辅助工具

56. Haidari-Eissa/dispotraders-modern
   Intent: 为兄弟和AI使用构建小型平台
   Desc: A small platform for my brothers and AI usage
   Macro: 产品与系统原型

57. EuropaDev/LunarMap
   Intent: 构建网站结构并部署
   Desc: N/A
   Macro: 产品与系统原型

58. superphilip/omnihub-backend
   Intent: 后端服务开发
   Desc: N/A
   Macro: 基础设施与底层组件

59. mahdijavid380/JAVIDSUB
   Intent: 未知项目功能
   Desc: N/A
   Macro: 个人效能与辅助工具

60. DarwinToapanta01/horus-client
   Intent: 客户端应用开发
   Desc: N/A
   Macro: 产品与系统原型

61. msameerkhanmughal-star/Yousaf-and-Sons-Your-Ride-Your-Way
   Intent: 通过AI平台生成前端应用
   Desc: Client Project
   Macro: 产品与系统原型


============================================================
other: 34 items
============================================================

1. jeremysykes/aro-studio-apps-dev
   Intent: 模块化设计系统管理平台
   Desc: Modular Electron platform for design system management — headless Core, Desktop host, hot-swappable modules. TypeScript monorepo with ADRs.
